nflId,num_snaps,Name,Position,estimate
29550,186,Jason Peters,T,0.00024175564141
30842,17,Marcedes Lewis,TE,0.0044201793838
30869,217,Andrew Whitworth,T,0.00086250592804
33107,205,Duane Brown,T,0.0060188370129
33131,193,Calais Campbell,DE,0.6126988422
34465,22,Malcolm Jenkins,SS,0.8731613523
34540,12,Jared Cook,TE,0.0036107344387
34654,4,Jason McCourty,FS,0.9495673352
34777,53,Steve McLendon,NT,0.8940862614
35441,180,Ndamukong Suh,DE,0.535720408
35442,5,Gerald McCoy,DT,1.3346627706
35449,36,Tyson Alualu,DE,0.8765405625
35452,29,Brandon Graham,DE,0.7444871712
35454,150,Jason Pierre-Paul,DE,0.1484093461
35459,2,Kareem Jackson,SS,1.2741063251
35466,4,Devin McCourty,FS,1.2739255324
35470,112,Jerry Hughes,DE,0.4390921249
35481,14,Rob Gronkowski,TE,0.004325134824
35485,93,Linval Joseph,NT,0.4203705866
35493,128,Carlos Dunlap,OLB,0.5262822736
35522,36,Corey Peters,DT,0.4530154555
35534,4,Jimmy Graham,TE,0.006469902007
35539,128,Everson Griffen,DE,0.8406208516
35562,119,Al Woods,DT,0.5342276901
37075,160,Von Miller,OLB,0.5620478093
37082,209,Tyron Smith,T,0.0026145834125
37084,188,J.J. Watt,DE,1.739394877
37087,123,Robert Quinn,OLB,0.680816637
37089,68,Ryan Kerrigan,DE,0.3163764224
37090,247,Nate Solder,T,0.0005418712146
37097,196,Cameron Jordan,DE,0.662864803
37100,2,Jimmy Smith,CB,0.6734165874
37101,11,Mark Ingram,RB,0.006094583992
37104,174,Cameron Heyward,DT,1.2840531389
37112,6,Jabaal Sheard,DE,1.274596981
37118,39,Kyle Rudolph,TE,0.005584926176
37130,143,Rodney Hudson,C,0.0070260513667
37145,138,Justin Houston,OLB,0.895326498
37179,3,Luke Stocker,TE,0.003742984518
37213,106,Marcus Cannon,T,0.0003839202498
37229,4,Richard Sherman,CB,1.1649797549
37234,30,Lee Smith,TE,0.005082897821
37240,83,Pernell McPhee,OLB,0.34162205356
37266,242,Jason Kelce,C,0.0017697580153
37308,75,Lawrence Guy,DT,0.461564149
37317,7,Malcolm Smith,MLB,0.7408647296
37724,1,Chris Harris,CB,1.00818435278
37778,5,Josh Bynes,ILB,0.6368212787
37841,90,Mario Addison,DE,0.23799615107
38542,159,Fletcher Cox,DT,0.2097736902
38544,126,Michael Brockers,DE,0.4427150853
38548,123,Melvin Ingram,OLB,0.9516014561
38551,145,Chandler Jones,OLB,0.18942908717
38553,223,Riley Reiff,T,6.0105361397e-05
38555,50,Dont'a Hightower,OLB,0.9197945132
38556,111,Whitney Mercilus,DE,0.6348800665
38557,257,Kevin Zeitler,G,0.00054132216717
38559,10,Harrison Smith,SS,0.60390641333
38577,20,Bobby Wagner,MLB,0.7275042864
38588,27,Lavonte David,ILB,0.690877442
38606,39,Brandon Brooks,G,0.0012287576426
38607,51,Demario Davis,ILB,0.423197301
38619,80,Akiem Hicks,DT,0.63465874
38642,266,Bobby Massie,T,0.00030300071549
38667,173,Malik Jackson,DT,0.756138217
38696,2,Marvin Jones,WR,0.0023605689043
38868,1,Tashaun Gipson,FS,0.9866135525
39008,4,Julian Stanford,OLB,0.751547471
39212,20,Brandon Bolden,RB,0.0069952391225
39907,12,Darren Fells,TE,0.006066892883
39908,2,Erik Harris,FS,0.8764036138
39941,1,Chris Banjo,FS,0.8569744178
39947,160,Eric Fisher,T,0.0015521388183
39950,119,Lane Johnson,T,0.0012235811741
39959,108,Sheldon Richardson,DT,0.6158902897
39960,88,Star Lotulelei,DT,0.3380717724
39965,188,Justin Pugh,G,0.0026739843789
39975,14,Cordarrelle Patterson,RB,0.0042588211828
39976,9,Alec Ogletree,ILB,1.0005818091
39983,6,Zach Ertz,TE,0.001830736309
39985,10,Giovani Bernard,RB,0.00366813243
39989,5,Robert Woods,WR,0.0062933418097
39993,14,Kevin Minter,ILB,0.9169247645
39996,12,Le'Veon Bell,RB,0.0043733863229
39997,120,Johnathan Hankins,NT,1.0509146713
39998,12,Jon Bostic,OLB,0.6313004701
40000,8,Jamie Collins,OLB,2.20655446605
40001,5,Margus Hunt,DT,1.377843755
40008,1,Robert Alford,CB,1.49764767347
40011,6,Travis Kelce,TE,0.004354355403
40017,14,Tyrann Mathieu,SS,2.073078971
40023,87,Terron Armstead,T,0.0008501585676
40030,54,John Jenkins,NT,0.5915455954
40031,14,Logan Ryan,FS,1.3586189433
40039,5,Duron Harmon,SS,0.6939511548
40042,94,Brandon Williams,NT,0.6337347591
40051,108,Alex Okafor,DE,0.3634428147
40070,218,J.C. Tretter,C,0.0016148985327
40074,105,William Gholston,DE,1.116375729
40077,10,John Simon,DE,0.8621359922
40089,167,Oday Aboushi,G,0.0026482466704
40095,124,Steven Means,OLB,0.6051888963
40096,4,A.J. Klein,OLB,0.8134785273
40107,4,Micah Hyde,FS,1.0523675973
40129,26,Latavius Murray,RB,0.0035507166444
40138,6,Rex Burkhead,RB,0.0029682272859
40151,272,Ryan Jensen,C,0.0032597611586
40166,5,Jordan Poyer,SS,0.46825048317
40171,128,Nicholas Williams,DE,0.5163040789
40253,6,Lerentee McCray,DE,0.5877267321
40347,67,Mike Purcell,NT,0.3982647643
40463,16,Brandon Copeland,OLB,0.6271495077
40608,49,Damion Square,NT,0.8096827371
40641,13,Jack Doyle,TE,0.0034723818075
40688,6,A.J. Bouye,CB,1.80796520258
40825,55,Benson Mayowa,OLB,0.8635536469
41222,252,Alejandro Villanueva,T,0.0007358129205
